date;min_temp;max_temp
01.04.2025;18;26
02.04.2025;17;28
03.04.2025;19;27
04.04.2025;13;24
05.04.2025;12;16
06.04.2025;13;17
07.04.2025;14;18
08.04.2025;13;25
09.04.2025;17;26
10.04.2025;17;23
11.04.2025;16;23
12.04.2025;16;23
13.04.2025;15;19
14.04.2025;15;19
15.04.2025;14;19
16.04.2025;16;24
17.04.2025;17;25
18.04.2025;16;25
19.04.2025;16;25
01.03.2025;16;30
02.03.2025;18;32
03.03.2025;18;29
04.03.2025;18;27
05.03.2025;17;25
06.03.2025;18;26
07.03.2025;18;26
08.03.2025;17;28
09.03.2025;17;31
10.03.2025;17;22
11.03.2025;17;27
12.03.2025;17;24
13.03.2025;18;26
14.03.2025;17;26
15.03.2025;17;23
16.03.2025;16;22
17.03.2025;16;24
18.03.2025;17;25
19.03.2025;16;24
20.03.2025;14;23
21.03.2025;13;24
22.03.2025;13;26
23.03.2025;18;27
24.03.2025;17;28
25.03.2025;17;28
26.03.2025;17;23
27.03.2025;17;25
28.03.2025;18;28
29.03.2025;20;28
30.03.2025;19;26
31.03.2025;15;30
01.02.2025;19;23
02.02.2025;18;26
03.02.2025;19;26
04.02.2025;19;25
05.02.2025;20;26
06.02.2025;19;26
07.02.2025;18;27
08.02.2025;18;23
09.02.2025;17;28
10.02.2025;16;28
11.02.2025;18;31
12.02.2025;19;32
13.02.2025;18;30
14.02.2025;17;26
15.02.2025;19;28
16.02.2025;21;31
17.02.2025;22;31
18.02.2025;18;26
19.02.2025;18;26
20.02.2025;19;28
21.02.2025;19;27
22.02.2025;18;26
23.02.2025;18;27
24.02.2025;17;27
25.02.2025;18;28
26.02.2025;18;31
27.02.2025;20;29
28.02.2025;17;29
01.01.2025;17;28
02.01.2025;17;28
03.01.2025;17;30
04.01.2025;17;30
05.01.2025;17;25
06.01.2025;16;24
07.01.2025;17;23
08.01.2025;16;22
09.01.2025;16;23
10.01.2025;15;24
11.01.2025;16;22
12.01.2025;15;18
13.01.2025;13;23
14.01.2025;14;24
15.01.2025;13;24
16.01.2025;17;25
17.01.2025;19;26
18.01.2025;20;27
19.01.2025;20;22
20.01.2025;20;28
21.01.2025;20;28
22.01.2025;18;27
23.01.2025;16;30
24.01.2025;20;26
25.01.2025;19;30
26.01.2025;18;25
27.01.2025;16;25
28.01.2025;19;25
29.01.2025;18;25
30.01.2025;18;25
31.01.2025;17;24
01.12.2024;17;28
02.12.2024;19;27
03.12.2024;16;20
04.12.2024;15;17
05.12.2024;13;21
06.12.2024;17;28
07.12.2024;16;22
08.12.2024;16;19
09.12.2024;15;17
10.12.2024;15;20
11.12.2024;14;21
12.12.2024;15;24
13.12.2024;14;23
14.12.2024;17;23
15.12.2024;18;27
16.12.2024;16;26
17.12.2024;16;25
18.12.2024;15;24
19.12.2024;15;28
20.12.2024;18;23
21.12.2024;16;26
22.12.2024;15;26
23.12.2024;15;20
24.12.2024;16;23
25.12.2024;16;26
26.12.2024;17;23
27.12.2024;17;27
28.12.2024;18;27
29.12.2024;17;24
30.12.2024;15;23
31.12.2024;16;25
01.11.2024;14;22
02.11.2024;16;21
03.11.2024;16;18
04.11.2024;16;21
05.11.2024;18;25
06.11.2024;17;23
07.11.2024;18;22
08.11.2024;16;25
09.11.2024;13;19
10.11.2024;14;22
11.11.2024;15;29
12.11.2024;15;24
13.11.2024;12;20
14.11.2024;13;20
15.11.2024;14;21
16.11.2024;17;24
17.11.2024;16;26
18.11.2024;17;31
19.11.2024;17;25
20.11.2024;15;28
