date;min_temp;max_temp
01.04.2025;24;32
02.04.2025;24;31
03.04.2025;24;28
04.04.2025;25;31
05.04.2025;24;29
06.04.2025;25;31
07.04.2025;24;30
08.04.2025;24;31
09.04.2025;24;31
10.04.2025;25;30
11.04.2025;25;31
12.04.2025;26;32
13.04.2025;26;31
14.04.2025;25;32
15.04.2025;25;32
16.04.2025;25;32
17.04.2025;24;32
18.04.2025;24;32
01.03.2025;24;27
02.03.2025;23;31
03.03.2025;24;31
04.03.2025;24;31
05.03.2025;24;32
06.03.2025;24;31
07.03.2025;24;32
08.03.2025;24;28
09.03.2025;24;31
10.03.2025;24;31
11.03.2025;24;30
12.03.2025;24;32
13.03.2025;24;30
14.03.2025;22;29
15.03.2025;24;29
16.03.2025;24;29
17.03.2025;24;30
18.03.2025;25;30
19.03.2025;24;32
20.03.2025;25;31
21.03.2025;24;30
22.03.2025;24;31
23.03.2025;24;32
24.03.2025;23;31
25.03.2025;24;30
26.03.2025;24;31
27.03.2025;25;31
28.03.2025;25;31
29.03.2025;24;32
30.03.2025;24;32
31.03.2025;24;32
01.02.2025;23;32
02.02.2025;24;32
03.02.2025;24;31
04.02.2025;24;30
05.02.2025;24;30
06.02.2025;22;29
07.02.2025;24;30
08.02.2025;24;31
09.02.2025;25;31
10.02.2025;23;31
11.02.2025;24;31
12.02.2025;24;30
13.02.2025;24;31
14.02.2025;24;31
15.02.2025;24;31
16.02.2025;24;31
17.02.2025;24;30
18.02.2025;24;32
19.02.2025;25;30
20.02.2025;25;31
21.02.2025;24;31
22.02.2025;23;32
23.02.2025;26;30
24.02.2025;24;32
25.02.2025;23;31
26.02.2025;28;32
27.02.2025;25;30
28.02.2025;24;30
01.01.2025;26;32
02.01.2025;26;32
03.01.2025;27;32
04.01.2025;26;31
05.01.2025;27;31
06.01.2025;27;31
07.01.2025;26;31
08.01.2025;25;31
09.01.2025;27;31
10.01.2025;26;31
11.01.2025;27;32
12.01.2025;27;30
13.01.2025;23;29
14.01.2025;26;29
15.01.2025;25;31
16.01.2025;25;30
17.01.2025;28;31
18.01.2025;25;30
19.01.2025;25;28
21.01.2025;28;31
22.01.2025;25;30
23.01.2025;25;31
24.01.2025;24;31
25.01.2025;24;32
26.01.2025;25;30
27.01.2025;23;31
28.01.2025;24;31
29.01.2025;24;30
30.01.2025;25;31
31.01.2025;24;32
01.12.2024;24;31
02.12.2024;26;30
03.12.2024;26;30
04.12.2024;25;29
05.12.2024;25;31
06.12.2024;24;30
07.12.2024;23;30
08.12.2024;24;29
09.12.2024;26;30
10.12.2024;26;31
11.12.2024;24;31
12.12.2024;25;31
13.12.2024;26;30
14.12.2024;24;30
15.12.2024;25;31
16.12.2024;26;31
17.12.2024;26;31
18.12.2024;25;32
19.12.2024;25;31
20.12.2024;26;30
21.12.2024;25;31
22.12.2024;27;32
23.12.2024;24;31
24.12.2024;25;31
25.12.2024;24;31
26.12.2024;24;31
27.12.2024;25;31
28.12.2024;26;31
29.12.2024;26;30
30.12.2024;25;31
31.12.2024;26;31
01.11.2024;24;30
02.11.2024;25;29
03.11.2024;24;30
04.11.2024;24;30
05.11.2024;25;31
06.11.2024;23;30
07.11.2024;26;30
08.11.2024;24;30
09.11.2024;26;29
10.11.2024;26;30
11.11.2024;25;30
12.11.2024;23;30
13.11.2024;26;30
14.11.2024;25;29
15.11.2024;24;31
16.11.2024;23;30
17.11.2024;24;30
18.11.2024;25;30
19.11.2024;25;30
20.11.2024;26;30
21.11.2024;25;30
22.11.2024;25;30
23.11.2024;24;30
24.11.2024;25;30
25.11.2024;25;30
26.11.2024;24;30
27.11.2024;23;31
28.11.2024;23;30
29.11.2024;25;30
30.11.2024;23;30
01.10.2024;21;29
02.10.2024;22;29
03.10.2024;24;28
04.10.2024;24;28
05.10.2024;24;29
06.10.2024;25;26
07.10.2024;22;29
08.10.2024;24;30
09.10.2024;22;30
10.10.2024;23;30
11.10.2024;24;30
12.10.2024;23;30
13.10.2024;24;29
