;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Total Value of Investment;2303603;2246033;3134244;3764346;4591122;5972356;7191779;4267865;5952867;6738006;6815650;7917764;9108797;9576214;9433088;9869968;12391814;11282286;13075093;14357736;16306739;14000387
Cayman Islands;71038;87487;124972;195676;248770;375542;543887;315228;373316;366025;708764;796931;901140;1111962;1217097;1369100;1766954;1742177;2000800;2472992;2804042;2657565
United Kingdom;512974;494639;663120;737754;814784;1075579;1142380;647361;958256;1001455;989273;1128508;1344095;1300299;1239501;1195918;1473490;1359579;1517165;1422401;1615424;1397034
Canada;211443;230841;300978;344668;418925;477889;586454;378435;540255;695213;736180;808022;825946;844179;705290;831037;995893;981173;1097840;1195724;1471882;1241634
Japan;197839;195439;291850;369806;520084;585567;582342;389072;405121;502796;492456;506339;674241;673241;811160;847316;1129195;1007631;1145392;1281840;1282101;1090083
Ireland;32431;25815;33470;55263;75368;120513;131854;62809;120020;131936;149497;180851;280713;387485;498270;462334;495403;502658;647745;684464;926083;776698
France;143571;134989;183425;212505;269945;397295;443513;280037;356616;360772;300683;369813;460843;477483;466830;487811;598526;556593;656441;701012;795411;690871
Switzerland;76627;85754;119715;142012;196138;264243;287675;218388;305011;327036;292025;333492;442517;423864;419714;421007;505951;458052;596729;632833;742256;591176
Netherlands The;149081;138711;182193;202361;191882;234065;235059;169342;232918;232885;241757;286054;386448;388031;404133;432952;534442;452853;569940;625067;748105;579906
Germany;134141;130954;186611;197486;213479;288324;421683;250830;289476;295413;262597;325218;386324;370053;373190;369660;489736;398767;464830;526281;561979;452993
Australia;55182;58616;90502;103411;128202;173153;222570;145542;276431;323303;333584;351064;337804;311486;295959;296183;354874;332553;366041;381048;459712;423875
India;7197;8975;18699;23524;33226;49231;85149;31917;65495;91486;58594;78846;85609;129208;130033;133009;194444;176016;200659;237809;305554;286810
Bermuda;125478;97036;116295;164073;186662;208050;272968;163128;147962;159545;160894;178344;211126;227490;216632;246567;263129;235978;274843;278782;298640;249449
China P.R.: Mainland;3003;4963;13738;12722;28443;75314;97240;54902;102303;102226;76799;120392;103326;133274;107725;101350;162282;159127;222282;290122;303380;242595
Taiwan Province of China;19860;7263;27230;34886;57877;74448;81192;41418;76858;94656;72146;87640;98141;114402;107699;130336;177729;158103;214872;303350;370725;231937
Korea Rep. of;34474;39573;53429;73613;118507;123875;139555;56056;104826;148188;146206;174689;182811;178389;171088;177375;263113;213376;231203;301505;281847;204676
Luxembourg;13034;14207;23383;38049;46287;60102;95121;60037;94376;100431;93219;104733;125013;133463;127586;131641;145873;138919;156693;191693;222458;200624
Sweden;36830;35450;45257;62398;74619;102067;112057;59359;75744;122100;115419;121567;164525;164729;137502;134131;172330;144435;155407;205020;263796;179572
Denmark;12121;13519;22141;23882;25275;33978;47157;32337;37582;48905;43235;49269;61460;69233;90082;75340;110150;83604;114745;158731;181103;173050
Jersey;2447;3079;10456;12351;19057;21450;28633;37307;45956;41906;48975;49120;75160;91079;92365;102218;123375;100868;105812;129993;169905;161893
Brazil;34129;24865;50229;62998;90285;110294;188807;91453;212809;235129;196178;216116;179869;165863;116193;150929;182232;168692;197708;170654;150561;156639
Mexico;48904;48786;56240;66316;86108;108450;109731;65182;87654;108855;108493;157089;154015;165727;147611;144698;162692;146286;150930;159283;164646;144815
Spain;39922;36419;51547;68904;69821;110956;146413;93205;113469;87078;75689;98893;132955;132983;115177;112411;158215;138743;162493;163581;171507;142256
China P.R.: Hong Kong;32047;23657;37661;37350;46225;87518;121276;64816;92886;134817;115644;144743;140162;150785;136033;124224;163536;170544;180713;195536;148516;127384
Italy;48207;47600;66931;77709;79393;105893;119963;61763;78505;65638;62483;109565;123541;109321;106546;91862;140214;115191;142897;147658;162032;123893
Singapore;22817;19885;25001;29194;36361;52731;64710;30481;52104;63908;59552;72896;89054;98045;98913;114964;170700;88738;99007;100079;119597;111225
Israel;21233;20109;28664;34315;44313;41517;54250;46064;58804;63502;57968;56544;62534;75148;79785;64592;66211;64930;69562;94555;118462;87182
Norway;14641;12386;21243;30477;36334;50573;67909;33349;52354;56074;62538;73282;76844;72895;57893;59174;71188;61139;67353;72714;85739;86499
South Africa;7860;12168;17849;24646;34212;42687;53141;32218;53519;77934;70511;85830;76664;83045;62855;78935;115363;91279;84911;76685;69885;64924
Indonesia;1840;3122;5072;6987;9025;14072;18349;11160;22741;34861;39112;44991;37458;51670;47129;56278;73229;66617;72742;68655;70817;64621
British Virgin Islands;2011;2324;3599;4466;8382;10996;14843;8876;10314;15922;48047;60416;61697;76554;62701;63970;67067;64912;71033;65287;84890;61894
Finland;55138;37570;41126;38895;48778;59934;94173;40959;34797;40621;23323;26578;38112;36823;38323;38860;47153;52832;56140;59712;70321;60074
Belgium;12727;12357;16987;23973;24664;35968;37874;23231;36751;35453;34015;45546;64840;63444;68230;58304;72482;52303;64934;66093;69034;59091
Guernsey;4644;4012;5350;5940;6396;12493;15830;6589;12271;14796;17129;27539;29537;38376;37557;42026;50020;43249;46821;52906;64954;56399
Curaçao Kingdom of the Netherlands;0;0;0;0;0;0;0;0;0;83309;69707;69652;86090;81653;70084;90883;72737;36602;40926;22987;28876;53462
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3907;7823;7584;27965;0;48381;46831
Chile;5948;6097;9697;11598;12099;12539;12774;10299;15308;22531;23871;27912;26634;31328;25893;25935;35096;33778;35881;36796;42535;41060
Thailand;2698;3263;7339;7112;10537;13046;16842;7619;14222;23034;23167;36732;32696;37650;29764;37323;51055;40760;44373;34908;36107;38780
Russian Federation;10207;13301;21555;21314;28764;48441;80919;24616;50814;62285;51334;66531;70898;40745;39625;61740;69190;56599;83401;72448;83849;29907
Mauritius;149;140;174;325;237;639;1657;956;1484;2290;4769;6088;7030;9530;10233;12295;19490;15566;17603;20338;30392;29625
Panama;9955;11732;18648;24303;26151;26069;29435;14814;20530;25609;20710;23336;27871;27154;27240;29348;33929;25123;31122;34603;38863;28677
United Arab Emirates;0;0;0;0;0;0;0;0;0;0;0;0;0;9196;9094;10891;18801;19167;19550;22149;30267;28505
New Zealand;4129;5796;10558;12033;11935;11372;9798;12240;15643;17296;18460;17967;17552;22294;20395;20222;20469;23787;29209;32654;32765;28375
Malaysia;4258;6370;7953;10690;11282;15404;25209;11936;18917;32210;35727;42419;42222;40198;32761;29795;38681;32395;31649;29767;31082;27615
Austria;4335;5761;10372;15249;17281;26569;28997;9923;14974;18070;11522;14408;18776;19523;17331;18354;32061;24523;26447;25160;32733;26130
Colombia;2759;2683;3487;4455;5019;5828;6795;6848;7952;10451;15415;19996;19655;23686;20037;24422;29068;25850;28792;29819;26048;20587
Türkiye;3539;2617;5716;8224;14200;15284;25086;15850;28526;40088;28684;50124;38597;47533;33510;29666;39814;27911;28314;23864;19383;20098
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;6322;5299;6415;7774;13158;17756;19505;24837;18652
Philippines;4015;4555;5046;5690;7179;10989;14461;7097;9326;16532;17855;22416;22158;26842;23207;22749;27545;25616;26224;22904;23275;18129
Marshall Islands Rep. of the;66;414;942;4475;5545;7461;13586;5330;7221;11174;8160;9781;21279;24260;14091;13291;15304;11673;15826;11103;16422;18077
Liberia;1359;2408;4328;7829;6748;5786;6763;2873;4121;5413;3983;4929;4850;10030;12983;11209;16169;13422;19995;14911;21216;16860
Peru;1673;2486;3999;3874;4588;3763;4604;3576;4978;7576;8900;10830;9478;10437;8709;10253;12940;13284;15233;19316;21069;16431
Poland Rep. of;3098;3369;3481;5624;7537;11816;13860;7841;13968;21810;24221;33665;31585;28136;21599;20003;26669;21707;17113;15642;16668;14766
Argentina;4712;3615;4315;4826;6852;11018;9826;4246;7296;10795;9584;7110;9067;16046;15071;24714;44510;34430;22485;18285;15530;12678
Portugal;4506;4151;5276;6386;6053;6485;8711;3822;6178;5991;4248;6425;10686;13282;12405;10624;14924;10696;12898;13022;11603;12464
Hungary;2026;2430;3091;5104;5635;8410;9225;4549;6800;6565;9081;13082;15448;15258;12347;12021;12632;11776;12393;11092;12972;9636
Greece;4563;4111;5935;8290;10554;16013;25484;8821;11474;7085;3775;4629;7101;10161;7975;7371;9988;8489;11434;10709;9486;8832
Romania;12;73;151;172;251;381;622;151;184;211;1149;1987;3251;4813;3690;3684;4196;4547;5463;8523;8179;7577
Dominican Rep.;163;310;512;502;763;817;849;380;622;815;866;1102;1635;2265;3595;3839;4013;4867;5288;6835;6689;7003
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;811;701;641;2593;3718;4615;0;6070;6824
Isle of Man;1;0;0;15;62;569;1306;510;1301;2842;2872;3285;3988;3799;3768;4323;6050;2643;4831;6441;8559;6408
Egypt Arab Rep. of;602;485;571;1151;3755;6686;11868;4792;5778;10378;4614;4655;3394;4649;3084;2617;8093;8302;11818;11818;12018;6366
Uruguay;602;555;608;1303;1073;1694;1957;1245;1714;1812;2262;3336;3168;3484;3755;3573;5310;4816;5888;6763;6657;5468
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;750;346;683;1779;3258;3463;3237;4919;4726
Kazakhstan Rep. of;139;111;102;346;336;1288;1341;749;1422;2993;3329;3798;3885;3052;4043;4278;5688;4148;4952;5420;6951;4480
Czech Rep.;481;685;1293;1876;1742;3071;5351;3753;4744;4873;4279;4420;3516;3103;2938;2691;4765;4095;3959;3479;4796;4033
Bahamas The;1647;1921;2912;2651;3266;1674;2262;1284;2171;2009;5253;5467;5646;8424;6869;5978;8099;7516;8474;2799;3893;3518
Barbados;54;141;253;256;272;323;423;400;1365;1476;1580;1684;1831;2471;2803;2837;2352;1700;1913;2605;3535;3277
Nigeria;0;0;0;0;0;0;0;0;0;0;0;0;0;3340;2261;1544;4188;4144;4297;3818;4064;3117
Cyprus;109;91;100;102;210;1123;2968;525;882;1355;1545;1587;3296;1716;1549;1549;2116;1830;2611;3733;7020;2936
Bahrain Kingdom of;0;0;0;0;0;0;0;0;0;0;0;0;0;864;420;666;1108;1578;2723;3158;3412;2750
Angola;0;0;0;0;0;0;0;0;6;0;7;7;0;0;434;349;468;1383;2175;0;2543;2675
Vietnam;21;46;81;112;306;238;248;199;419;1081;1368;1805;2092;2484;2750;2460;3402;3230;3121;2743;3752;2568
Morocco;368;241;163;228;440;416;455;381;293;475;426;1011;1085;2267;2336;2427;2250;1945;2334;3294;3386;2408
Ecuador;773;770;902;1114;983;552;709;386;318;307;287;289;334;705;974;1899;3497;3822;4226;0;3118;2201
Paraguay;0;0;0;0;0;0;0;3;5;5;47;218;393;1044;1028;933;1048;1417;1626;0;2487;2091
Serbia Rep. of;1;7;15;1;108;205;0;0;0;0;436;0;2463;2939;3265;2614;2864;2328;2290;2329;2916;1958
Malta;93;51;19;16;96;155;126;101;82;88;138;181;303;1035;995;801;1259;1119;874;1557;1783;1929
Côte d'Ivoire;161;118;96;97;92;95;159;61;264;181;289;716;788;1022;1858;1345;1665;1768;2026;2274;2473;1919
Guatemala;60;77;109;173;206;206;224;93;48;55;27;248;370;275;248;384;556;552;918;1300;1733;1865
Jordan;98;64;57;40;72;61;111;78;91;118;155;231;1086;2011;3196;3714;4705;4459;3349;2895;2589;1826
Kenya;15;16;21;16;20;15;32;39;103;192;223;444;957;2054;1707;1787;1831;2011;3009;2872;2713;1548
Iceland;224;161;143;242;3229;7828;7268;2049;1451;1644;1447;2103;1947;1885;2138;2627;2600;2111;2510;2537;2659;1454
Costa Rica;190;218;337;259;439;340;376;260;171;122;153;769;1432;1473;1723;1820;2207;1477;2187;1669;1683;1336
Azerbaijan Rep. of;0;0;0;0;0;0;0;0;0;0;7;87;230;654;805;1178;1629;1480;1604;1505;1576;1299
Ukraine;203;370;603;1551;1276;1507;2138;931;960;1789;3120;5740;6483;4762;6985;8373;8978;7620;10232;8455;6371;1275
Ghana;208;564;1216;3;3;3;193;114;229;367;449;582;840;964;1230;1714;3160;2855;2952;3434;3205;1231
Uzbekistan Rep. of;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;1114;1040
Pakistan;180;226;133;146;389;1026;1757;631;784;1174;917;1323;1419;2932;2783;3758;3430;2600;2793;1777;2238;935
Sri Lanka;157;108;88;79;93;182;285;144;1025;1832;2011;2638;3359;3929;3391;3868;4461;3660;3703;1828;1453;860
Slovenia Rep. of;13;45;87;36;79;144;352;164;222;262;255;1359;4011;6183;5156;2157;1705;1634;1690;1572;1458;844
Croatia Rep. of;762;629;676;715;703;400;468;270;780;984;1337;2276;2763;2591;2799;2688;2283;1754;1730;1619;1436;835
Senegal;0;0;0;0;0;1;2;1;11;36;76;39;56;292;297;255;687;997;1140;1038;1091;785
Jamaica;279;141;40;203;446;592;662;337;382;315;243;221;154;417;858;881;1059;721;1093;0;1133;777
Anguilla;0;0;0;2;3;4;15;4;1;0;403;1;660;301;215;1107;2135;678;0;0;1250;719
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;592;507;605;2050;1910;2001;0;1591;713
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;330;380;492;564;497;661;690;713;703
Slovak Rep.;133;100;88;190;310;299;70;31;31;50;308;651;484;332;345;281;386;465;525;0;735;655
Honduras;44;17;50;42;45;29;27;40;29;29;14;14;294;376;422;389;696;626;541;481;466;652
Trinidad and Tobago;494;484;632;503;516;711;1472;1121;1403;1175;1146;1160;1058;900;720;810;677;761;733;753;715;613
Tunisia;168;666;1280;587;639;608;501;407;463;560;446;462;562;953;1216;1780;1842;1978;1666;1609;643;580
Mongolia;0;0;1;0;0;0;0;0;0;6;17;339;275;240;473;596;1073;1045;988;723;518;554
Venezuela Rep. Bolivariana de;3655;4490;5321;6862;6114;6096;5416;3602;9647;7954;8566;13607;9902;6803;6320;5993;3013;2801;1323;931;563;554
Zambia;5;4;5;1;12;19;79;39;51;46;18;223;142;689;838;885;880;501;354;287;732;546
El Salvador;69;291;601;674;838;935;835;490;739;909;786;1175;941;1266;1004;1475;2171;1577;1878;1439;1006;540
Greenland;0;0;0;0;0;0;0;0;0;0;0;0;0;13;50;56;61;182;165;0;308;508
Estonia Rep. of;44;89;174;343;97;98;174;90;98;130;120;146;149;126;118;113;214;123;76;49;174;394
Benin;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;162;0;452;349
Bulgaria;1762;1474;1443;1172;428;312;561;252;215;254;216;157;172;177;282;287;201;159;103;345;362;329
North Macedonia Republic of;33;34;42;40;53;0;0;0;1;13;8;14;6;208;295;385;568;537;122;0;314;323
Albania;9;6;4;4;6;12;13;13;6;15;82;91;230;239;234;218;303;337;173;0;341;316
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;188;124;110;0;233;304
Georgia;4;1;0;0;0;30;150;91;117;211;221;473;402;578;528;1166;953;533;676;645;425;299
Faroe Islands;0;0;0;0;0;0;14;6;3;27;19;22;58;119;163;313;694;1199;1080;0;1021;297
Belarus Rep. of;0;0;0;0;0;0;0;0;0;109;239;408;312;396;206;329;1012;393;523;794;752;290
Bangladesh;4;1;0;0;0;4;167;47;13;69;80;102;244;646;627;719;924;820;665;499;433;242
